Job_ID,Job_Title,Industry,Location,Work_Type,Experience_Level,Required_Skills,Min_Salary_INR,Max_Salary_INR,Posting_Date
JOB-202600,SEO Specialist,Marketing,Gurugram,On-Site,Executive,Social Media Management,2753163,3577480,2026-01-20
JOB-202601,Investment Banker,Finance,Pune,On-Site,Senior,"Financial Modeling, Excel",1731386,2293229,2026-05-07
JOB-202602,Clinical Data Analyst,Healthcare,Mumbai,On-Site,Entry-Level,"Bioinformatics, Python",727842,1060354,2026-01-29
JOB-202603,Content Strategist,Marketing,Noida,On-Site,Senior,Social Media Management,1623805,2377398,2026-01-06
JOB-202604,DevOps Engineer,IT & Tech,Mumbai,On-Site,Mid-Level,"Java, Spring Boot",1649039,2012269,2026-04-23
JOB-202605,Social Media Expert,Marketing,Pune,Hybrid,Senior,Content Writing,1680547,2277579,2026-04-16
JOB-202606,Software Engineer,IT & Tech,Delhi,Hybrid,Lead,"Python, SQL",1853620,2662695,2026-02-02
JOB-202607,SEO Specialist,Marketing,Gurugram,On-Site,Lead,Content Writing,1838020,2414438,2026-01-08
JOB-202608,SEO Specialist,Marketing,Delhi,Remote,Entry-Level,Content Writing,369497,479368,2026-05-26
JOB-202609,Investment Banker,Finance,Gurugram,Remote,Senior,"Financial Modeling, Excel",1435705,1756676,2026-01-22
JOB-202610,SEO Specialist,Marketing,Gurugram,On-Site,Executive,Social Media Management,2628126,3361287,2026-04-18
JOB-202611,Investment Banker,Finance,Bengaluru,On-Site,Lead,Investment Analysis,2237014,3068312,2026-05-26
JOB-202612,Accountant,Finance,Hyderabad,Remote,Mid-Level,Risk Assessment,868393,1203663,2026-03-18
JOB-202613,DevOps Engineer,IT & Tech,Mumbai,Remote,Entry-Level,"SQL, Tableau, Power BI",976247,1255241,2026-02-05
JOB-202614,Healthcare Administrator,Healthcare,Mumbai,On-Site,Mid-Level,Hospital Administration,949907,1317243,2026-02-15
JOB-202615,Bioinformatics Scientist,Healthcare,Chennai,On-Site,Entry-Level,Hospital Administration,508609,693893,2026-05-07
JOB-202616,SEO Specialist,Marketing,Chennai,On-Site,Entry-Level,Content Writing,791182,1026950,2026-05-16
JOB-202617,Marketing Manager,Marketing,Pune,Hybrid,Entry-Level,Digital Marketing,662841,877299,2026-01-04
JOB-202618,Content Strategist,Marketing,Noida,On-Site,Entry-Level,Content Writing,497446,676801,2026-03-18
JOB-202619,Investment Banker,Finance,Chennai,Hybrid,Executive,Risk Assessment,2710610,3383471,2026-04-07
JOB-202620,Accountant,Finance,Gurugram,Hybrid,Executive,"Financial Modeling, Excel",2634811,3920510,2026-03-27
JOB-202621,SEO Specialist,Marketing,Pune,Remote,Senior,Social Media Management,1368682,1738729,2026-04-20
JOB-202622,Financial Analyst,Finance,Hyderabad,On-Site,Lead,"Accounting, Tally",2261820,2741183,2026-02-13
JOB-202623,Social Media Expert,Marketing,Noida,Hybrid,Executive,"SEO, Google Analytics",2638031,3494002,2026-02-21
JOB-202624,Software Engineer,IT & Tech,Gurugram,On-Site,Executive,"Cybersecurity, Network",3229911,4619488,2026-04-26
JOB-202625,Social Media Expert,Marketing,Delhi,Remote,Executive,Digital Marketing,2402529,3304895,2026-02-07
JOB-202626,Data Scientist,IT & Tech,Delhi,On-Site,Mid-Level,"Cybersecurity, Network",1379802,1693349,2026-02-12
JOB-202627,Clinical Data Analyst,Healthcare,Hyderabad,Remote,Entry-Level,"Healthcare Data, SQL",808069,1053003,2026-01-27
JOB-202628,Healthcare Administrator,Healthcare,Chennai,Hybrid,Senior,"Bioinformatics, Python",1514796,1847511,2026-05-06
JOB-202629,Data Scientist,IT & Tech,Hyderabad,Remote,Mid-Level,"React, Node.js",1740612,2421486,2026-05-20
JOB-202630,Content Strategist,Marketing,Noida,On-Site,Entry-Level,Social Media Management,729020,984274,2026-04-23
JOB-202631,Bioinformatics Scientist,Healthcare,Gurugram,Remote,Senior,"Healthcare Data, SQL",1690438,2373017,2026-01-14
JOB-202632,Product Manager,IT & Tech,Pune,On-Site,Lead,"Java, Spring Boot",1811303,2704020,2026-03-08
